stg,beta,gamma,lmd,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0.16,0.8,0.1,0,3.6481936732788044e-104,0.01,3.6481936732788044e-104,0.05050318587374297,7.094093519784936e-98,0.0014892090245229193,5.952444153191608e-102,0.40258992891687,3.8243567719052555e-42,1.4607006426735628e-19,4.797730593575713e-82,0.40258992891687,3.8243567719052555e-42,1.4607006426735628e-19,4.797730593575713e-82
1,0.16,0.8,0.1,0.9097208267638144,0,0.9097208267638144,0.010000000000000002,0.9098018963310756,0.010549614552851623,0.9097844779906734,1.4909635421443404e-05,0.9105277890774938,0.01633787377922467,0.9103495754122828,3.4608905006432706e-41,0.9105277890774938,0.01633787377922467,0.9103495754122828,3.4608905006432706e-41
2,0.16,0.8,0.1,0.01,3.648193673278813e-104,0,3.6481936732788044e-104,0.10957308702169034,1.2278931379169543e-91,0.09691934203149324,1.0374560951312956e-95,0.6429374211907858,7.021071934813964e-13,0.639186451200591,8.934421912180855e-24,0.6429374211907858,7.021071934813964e-13,0.639186451200591,8.934421912180855e-24
3,0.16,0.8,0.1,0.9097208267638144,0.010000000000000004,0.9097208267638144,0,0.9142538109392262,0.0698785391205869,0.9142381901669027,0.05050318587374307,0.946066312699644,0.4174187415965516,0.9460058887456333,0.40258992891687,0.946066312699644,0.4174187415965516,0.9460058887456333,0.40258992891687
4,0.16,0.8,0.1,0.0003079051250233405,3.990756851054595e-100,3.723586955085369e-10,2.235294091080393e-106,0,7.760378505386897e-94,9.77755102971593e-12,3.648193673278807e-104,0.37100776266418467,4.002581674231988e-38,5.12801893697387e-28,2.95120032287798e-84,0.37100776266418467,4.002581674231988e-38,5.12801893697387e-28,2.95120032287798e-84
5,0.16,0.8,0.1,0.8850805915599375,0.009469625154343575,0.8538978911330485,3.4962258023259606e-08,0.8851770194776483,0,0.853960593751297,9.777551029715568e-12,0.886040095804866,0.015622959904635315,0.8545005850876459,1.7472863547852878e-47,0.886040095804866,0.015622959904635315,0.8545005850876459,1.7472863547852878e-47
6,0.16,0.8,0.1,0.11063595459118056,4.862833936794168e-96,4.013382436427356e-06,2.723765630475758e-102,0.21375344182317957,1.6367171356340941e-83,0,7.760378505386497e-94,0.6882839054166592,2.245946198189359e-08,0.600465254644805,1.2811198223459018e-21,0.6882839054166592,2.245946198189359e-08,0.600465254644805,1.2811198223459018e-21
7,0.16,0.8,0.1,0.9049482057513646,0.1630818786264904,0.8791390698059479,0.00030790512502333476,0.9097208267638144,0.2137534418231801,0.8851770194776483,0,0.9432151008413441,0.5132240725248151,0.927677808604863,0.3710077626641845,0.9432151008413441,0.5132240725248151,0.927677808604863,0.3710077626641845
8,0.16,0.8,0.1,2.856566438625677e-23,8.950550976543347e-64,1.3205192385985765e-85,2.6919857084021364e-126,4.317837334555712e-21,1.7408216703772218e-57,1.9028432548673049e-87,4.402139230824397e-124,0,0.01,3.6481936732788075e-104,3.6481936732788075e-104,0.01,0.01,3.6481936732788075e-104,3.6481936732788075e-104
9,0.16,0.8,0.1,0.09374437491669099,0.005548268833976483,4.981783450501465e-35,4.103255024220333e-64,0.0896991521262904,0.005910566143512731,1.195637709724773e-38,4.612378109841132e-68,0.01,0,3.6481936732788075e-104,3.6481936732788075e-104,0.01,0.01,3.6481936732788075e-104,3.6481936732788075e-104
10,0.16,0.8,0.1,0.7481135153474633,6.459361890984698e-23,9.476074075945008e-45,1.9429868829262715e-85,0.7728554926796947,2.1740957657834255e-10,2.1497535763459884e-40,5.606806830495902e-77,0.9097208267638144,0.9097208267638144,0,0.01,0.9097208267638144,0.9097208267638144,0.01,0.01
11,0.16,0.8,0.1,0.8488824048906546,0.848349241423657,4.575860096895181e-05,2.8565664386256745e-23,0.8564701313030891,0.8560423406376061,8.831925628088451e-05,4.317837334555735e-21,0.9097208267638144,0.9097208267638144,0.01,0,0.9097208267638144,0.9097208267638144,0.01,0.01
12,0.16,0.8,0.1,2.856566438625677e-23,8.950550976543347e-64,1.3205192385985765e-85,2.6919857084021364e-126,4.317837334555712e-21,1.7408216703772218e-57,1.9028432548673049e-87,4.402139230824397e-124,0.01,0.01,3.648193673278822e-104,3.648193673278822e-104,0,0.01,3.6481936732788075e-104,3.6481936732788075e-104
13,0.16,0.8,0.1,0.09374437491669099,0.005548268833976483,4.981783450501465e-35,4.103255024220333e-64,0.0896991521262904,0.005910566143512731,1.195637709724773e-38,4.612378109841132e-68,0.01,0.01,3.648193673278822e-104,3.648193673278822e-104,0.01,0,3.6481936732788075e-104,3.6481936732788075e-104
14,0.16,0.8,0.1,0.7481135153474633,6.459361890984698e-23,9.476074075945008e-45,1.9429868829262715e-85,0.7728554926796947,2.1740957657834255e-10,2.1497535763459884e-40,5.606806830495902e-77,0.9097208267638144,0.9097208267638144,0.01,0.01,0.9097208267638144,0.9097208267638144,0,0.01
15,0.16,0.8,0.1,0.8488824048906546,0.848349241423657,4.575860096895181e-05,2.8565664386256745e-23,0.8564701313030891,0.8560423406376061,8.831925628088451e-05,4.317837334555735e-21,0.9097208267638144,0.9097208267638144,0.01,0.01,0.9097208267638144,0.9097208267638144,0.01,0
